CODI,Castellà,Català,Tipus de contracte
38547000-1,Sistema de dosimetría,Sistema de dosimetria,Subministraments
38548000-8,Instrumentos para vehículos,Instruments per a vehicles,Subministraments
38550000-5,Contadores,Comptadors,Subministraments
38551000-2,Medidores de energía,Comptadors d'energia,Subministraments
38552000-9,Contadores electrónicos,Comptadors electrònics,Subministraments
38553000-6,Contadores magnéticos,Comptadors magnètics,Subministraments
38554000-3,Contadores de electricidad,Comptadors d'electricitat,Subministraments
38560000-8,Contadores de producción,Comptadors de producció,Subministraments
38561000-5,Cuentavueltas,Comptavoltes,Subministraments
38561100-6,Velocímetros para vehículos,Velocímetres de vehicles,Subministraments
38561110-9,Tacómetros,Tacòmetres,Subministraments
38561120-2,Taxímetros,Taxímetres,Subministraments
38562000-2,Estroboscopios,Estroboscopis,Subministraments
38570000-1,Instrumentos y aparatos de regulación y control,Instruments i aparells de regulació i control,Subministraments
38571000-8,Limitadores de velocidad,Limitadors de velocitat,Subministraments
38580000-4,Equipo no médico basado en el uso de radiaciones,Aparells radiològics d'ús no mèdic,Subministraments
38581000-1,Equipo de escáner para equipajes,Escàners d'equipatges,Subministraments
38582000-8,Equipo de control por rayos X,Equip de control per rajos X,Subministraments
38600000-1,Instrumentos ópticos,Instruments òptics,Subministraments
38620000-7,Materias polarizantes,Matèries polaritzants,Subministraments
38621000-4,Aparatos de fibra óptica,Aparells de fibra òptica,Subministraments
38622000-1,Espejos,Miralls,Subministraments
38623000-8,Filtros ópticos,Filtres òptics,Subministraments
38624000-5,Ayudas ópticas,Dispositius d'ajuda òptica,Subministraments
38630000-0,Instrumentos ópticos y de astronomía,Instruments òptics i d'astronomia,Subministraments
38631000-7,Binoculares,Binocles,Subministraments
38632000-4,Gafas para visión nocturna,Ulleres de visió nocturna,Subministraments
38633000-1,Miras telescópicas,Mires telescòpiques,Subministraments
38634000-8,Microscopios ópticos,Microscopis òptics,Subministraments
38635000-5,Telescopios,Telescopis,Subministraments
38636000-2,Instrumentos ópticos especializados,Instruments òptics especialitzats,Subministraments
38636100-3,Láseres,Làsers,Subministraments
38636110-6,Láseres industriales,Làsers industrials,Subministraments
38640000-3,Dispositivos de cristal líquido,Dispositius de cristall líquid,Subministraments
38641000-0,Periscopios,Periscopis,Subministraments
38650000-6,Equipo fotográfico,Equip fotogràfic,Subministraments
38651000-3,Cámaras fotográficas,Càmeres fotogràfiques,Subministraments
38651100-4,Lentes para cámaras fotográficas,Lents de càmeres fotogràfiques,Subministraments
38651200-5,Cuerpos de cámaras fotográficas,Cossos de càmeres fotogràfiques,Subministraments
38651300-6,Cámaras para la preparación de clisés o cilindros de imprenta,Càmeres per preparar clixés o cilindres d'impremta,Subministraments
38651400-7,Cámaras fotográficas con autorrevelado,Càmeres fotogràfiques amb autorevelat instantani,Subministraments
38651500-8,Cámaras cinematográficas,Càmeres cinematogràfiques,Subministraments
38651600-9,Cámaras fotográficas digitales,Càmeres fotogràfiques digitals,Subministraments
38652000-0,Proyectores cinematográficos,Projectors cinematogràfics,Subministraments
38652100-1,Proyectores,Projectors,Subministraments
38652110-4,Proyectores de diapositivas,Projectors de diapositives,Subministraments
38652120-7,Videoproyectores,Videoprojectors,Subministraments
38652200-2,Ampliadoras,Ampliadores,Subministraments
38652300-3,Reductoras,Reductores,Subministraments
38653000-7,Aparatos para laboratorios fotográficos,Aparells per a laboratoris fotogràfics,Subministraments
38653100-8,Lámparas-flash,Flaixos,Subministraments
38653110-1,Lámparas de destello para fotografía,Bombetes de flaixos,Subministraments
38653111-8,Cubos de destello para fotografía,Flaixos de cub,Subministraments
38653200-9,Ampliadoras fotográficas,Ampliadores fotogràfiques,Subministraments
38653300-0,Aparatos y equipos para el revelado de películas,Aparells i equips per revelar pel·lícules,Subministraments
38653400-1,Pantallas de proyección,Pantalles de projecció,Subministraments
38654000-4,Equipo para microfilmes y microfichas,Equip de microfilms i microfitxes,Subministraments
38654100-5,Equipo para microfilmes,Equip de microfilms,Subministraments
38654110-8,Lectores de microfilmes,Lectors de microfilms,Subministraments
38654200-6,Equipo para microfichas,Equip de microfitxes,Subministraments
38654210-9,Lectores de microfichas,Lectors de microfitxes,Subministraments
38654300-7,Equipo para microformatos,Equip de microformats,Subministraments
38654310-0,Lectores de microformatos,Lectors de microformats,Subministraments
38700000-2,Registradores de asistencia y contadores similares; parquímetros,Registradors d'assistència i comptadors similars; parquímetres,Subministraments
38710000-5,Registradores de asistencia,Registradors d'assistència,Subministraments
38720000-8,Fechadores y contadores,Datadors i comptadors,Subministraments
38730000-1,Parquímetros,Parquímetres,Subministraments
38731000-8,Contadores accionados por fichas,Comptadors accionats per fitxes,Subministraments
38740000-4,Cronómetros de tiempos de fabricación,Comptadors de minuts,Subministraments
38750000-7,Interruptores horarios,Interruptors horaris,Subministraments
38800000-3,Equipo de control de procesos industriales y equipo con mando a distancia,Equip de control de processos industrials i equip amb comandament a distància,Subministraments
38810000-6,Equipo de control de procesos industriales,Equip de control de processos industrials,Subministraments
38820000-9,Equipo con mando a distancia,Equip amb comandament a distància,Subministraments
38821000-6,Aparatos de radiocontrol,Aparells de radiocomandament,Subministraments
38822000-3,Dispositivos de telecontrol por sirenas,Sirenes amb radiocomandament,Subministraments
38900000-4,Instrumentos de evaluación o ensayo diversos,Instruments diversos d'avaluació o anàlisi,Subministraments
38910000-7,Equipo de control y ensayo higiénicos,Equip de monitoratge i anàlisi de la higiene,Subministraments
38911000-4,Kits de ensayo de frotis manuales,Equips de frotis manuals,Subministraments
38912000-1,Kits de ensayo de frotis automatizados,Equips de frotis automàtics,Subministraments
38920000-0,Equipo para semillas y piensos,Equip per a llavors i pinsos,Subministraments
38921000-7,Analizadores de grano,Analitzadors de gra,Subministraments
38922000-4,Contadores de semillas,Comptadors de llavors,Subministraments
38923000-1,Analizadores de piensos,Analitzadors de pinsos,Subministraments
38930000-3,Instrumentos de medición de la humedad,Instruments de mesura de la humitat,Subministraments
38931000-0,Comprobadores de temperatura y humedad,Comprovadors de temperatura i humitat,Subministraments
38932000-7,Medidores de humedad,Mesuradors de la humitat,Subministraments
38940000-6,Instrumentos de evaluación nuclear,Instruments d'avaluació nuclear,Subministraments
38941000-7,Contadores alfa,Comptadors de radiacions alfa,Subministraments
38942000-7,Contadores alfa beta,Comptadors de radiacions alfa i beta,Subministraments
38943000-7,Contadores beta,Comptadors de radiacions beta,Subministraments
38944000-7,Contadores beta gamma,Comptadors de radiacions beta i gamma,Subministraments
38945000-7,Contadores gamma,Comptadors de radiacions gamma,Subministraments
38946000-7,Contadores de kVc,Mesuradors de pics de quilovolts (kVp),Subministraments
38947000-7,Microanalizadores para radiología,Microanalitzadors de rajos X,Subministraments
38950000-9,Equipo para reacción en cadena de la polimerasa (PCR),Equip per a la reacció en cadena de la polimerasa (PCR),Subministraments
38951000-6,Equipo para reacción en cadena de la polimerasa (PCR) en tiempo real,Equip per a la reacció en cadena de la polimerasa (PCR) en temps real,Subministraments
38960000-2,Dispositivo antiarranque por alcoholemia,Dispositiu antiarrencada en cas d'alcoholèmia,Subministraments
38970000-5,"Investigación, ensayos y simuladores científico-técnicos","Simuladors de recerca, assaig i cientificotècnics",Subministraments
39000000-2,"Mobiliario (incluido el de oficina), complementos de mobiliario, aparatos electrodomésticos (excluida la iluminación) y productos de limpieza","Mobiliari (inclòs el d'oficina), complements de mobiliari, aparells domèstics (exclosa la il·luminació) i productes de neteja",Subministraments
39100000-3,Mobiliario,Mobiliari,Subministraments
39110000-6,"Asientos, sillas y productos conexos y piezas correspondientes","Seients, cadires i productes afins, i peces corresponents",Subministraments
39111000-3,Asientos,Seients,Subministraments
39111100-4,Asientos giratorios,Seients giratoris,Subministraments
39111200-5,Butacas de teatro,Butaques de teatre,Subministraments
39111300-6,Asientos eyectables,Seients ejèctils,Subministraments
39112000-0,Sillas,Cadires,Subministraments
39112100-1,Sillas de comedor,Cadires de menjador,Subministraments
39113000-7,Asientos y sillas diversos,Seients i cadires diversos,Subministraments
39113100-8,Sillones,Butaques,Subministraments
39113200-9,Sofás,Sofàs,Subministraments
39113300-0,Banquetas,Banquetes,Subministraments
39113400-1,Tumbonas,Gandules,Subministraments
39113500-2,Taburetes,Tamborets,Subministraments
39113600-3,Bancos para sentarse,Bancs (seients),Subministraments
39113700-4,Reposapiés,Reposapeus,Subministraments
39114000-4,Partes de asientos,Elements de seients,Subministraments
39114100-5,Tapizado,Entapissat,Subministraments
39120000-9,"Mesas, armarios, escritorios y librerías","Taules, armaris, escriptoris i llibreries",Subministraments
39121000-6,Escritorios y mesas,Escriptoris i taules,Subministraments
39121100-7,Escritorios,Escriptoris,Subministraments
39121200-8,Mesas,Taules,Subministraments
39122000-3,Armarios y librerías,Armaris i llibreries,Subministraments
39122100-4,Armarios,Armaris,Subministraments
39122200-5,Librerías,Llibreries,Subministraments
39130000-2,Muebles de oficina,Mobles d'oficina,Subministraments
39131000-9,Estanterías de oficina,Prestatgeries d'oficina,Subministraments
39131100-0,Estanterías de archivo,Prestatgeries d'arxiu,Subministraments
39132000-6,Sistemas de archivo,Sistemes d'arxiu,Subministraments
39132100-7,Archivadores,Arxivadors,Subministraments
39132200-8,Ficheros,Fitxers,Subministraments
39132300-9,Carpetas colgantes de archivo,Carpetes penjants d'arxiu,Subministraments
39132400-0,Sistemas carrusel,Sistemes giratoris (carrusel),Subministraments
39132500-1,Carritos para oficina,Carretons d'oficina,Subministraments
39133000-3,Expositores,Expositors,Subministraments
39134000-0,Mobiliario de informática,Mobiliari d'informàtica,Subministraments
39134100-1,Mesas para equipo informático,Taules per a equips informàtics,Subministraments
39135000-7,Mesas de clasificación,Taules de classificació,Subministraments
39135100-8,Estructuras de clasificación,Estructures de classificació,Subministraments
39136000-4,Perchas,Penja-robes,Subministraments
39137000-1,Ablandadores de agua,Ablanidors d'aigua,Subministraments
39140000-5,Mobiliario doméstico,Mobiliari domèstic,Subministraments
39141000-2,Muebles y equipo de cocina,Mobles i equip de cuina,Subministraments
39141100-3,Estantes,Prestatges,Subministraments
39141200-4,Encimeras,Taulells de cuina,Subministraments
39141300-5,Armarios vitrina,Vitrines,Subministraments
39141400-6,Cocinas equipadas,Cuines equipades,Subministraments
39141500-7,Campanas extractoras de humos,Campanes extractores ,Subministraments
39142000-9,Muebles de jardín,Mobles de jardí,Subministraments
39143000-6,"Muebles de dormitorio, comedor y cuarto de estar","Mobles de dormitori, menjador i sala d'estar",Subministraments
39143100-7,Muebles de dormitorio,Mobles de dormitori,Subministraments
39143110-0,Camas y ropa de cama y pasamanería especializada,Llits i roba de llit i teixits de mobiliari especials,Subministraments
39143111-7,Somieres,Somiers,Subministraments
39143112-4,Colchones,Matalassos,Subministraments
39143113-1,Pasamanería especializada,Teixits de mobiliari especials,Subministraments
39143114-8,Mantas eléctricas,Mantes elèctriques,Subministraments
39143115-5,Sábanas de hule,Protectors de llit de cautxú,Subministraments
39143116-2,Cunas,Bressols,Subministraments
39143120-3,Muebles de dormitorio distintos de las camas y ropa de cama,Mobles de dormitori diferents dels llits i roba de llit,Subministraments
39143121-0,Armarios roperos,Armaris robers,Subministraments
39143122-7,Cómodas,Calaixeres,Subministraments
39143123-4,Mesillas de noche,Tauletes de nit,Subministraments
39143200-8,Muebles de comedor,Mobles de menjador,Subministraments
39143210-1,Mesas de comedor,Taules de menjador,Subministraments
39143300-9,Muebles de cuarto de estar,Mobles de sala d'estar,Subministraments
39143310-2,Mesitas bajas,Tauletes de centre,Subministraments
39144000-3,Mobiliario de cuarto de baño,Mobles de cambra de bany,Subministraments
